RecordingTimestamp,LocalTimeStamp,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX,FixationPointY,GazePointIndex,GazePointX,GazePointY
861,15:23:53,1,,Fixation,413,352,144,,,
885,15:23:53,1,,Fixation,413,352,144,1,355,148
916,15:23:53,1,,Fixation,413,352,144,2,350,152
949,15:23:53,1,,Fixation,413,352,144,3,347,151
981,15:23:53,1,,Fixation,413,352,144,4,363,140
1012,15:23:54,1,,Fixation,413,352,144,5,355,165
1045,15:23:54,1,,Fixation,413,352,144,6,354,145
1078,15:23:54,1,,Fixation,413,352,144,7,323,159
1110,15:23:54,,1,Saccade,32,,,8,223,214
1142,15:23:54,2,,Fixation,264,230,204,9,225,217
1178,15:23:54,2,,Fixation,264,230,204,10,226,212
1211,15:23:54,2,,Fixation,264,230,204,11,231,210
1244,15:23:54,2,,Fixation,264,230,204,12,229,198
1277,15:23:54,2,,Fixation,264,230,204,13,231,217
1309,15:23:54,2,,Fixation,264,230,204,14,225,199
1342,15:23:54,2,,Fixation,264,230,204,15,234,184
1374,15:23:54,2,,Fixation,264,230,204,16,238,190
1405,15:23:54,,2,Saccade,31,,,17,169,96
1437,15:23:54,3,,Fixation,280,148,74,18,162,80
1468,15:23:54,3,,Fixation,280,148,74,19,181,88
1499,15:23:54,3,,Fixation,280,148,74,20,173,68
1530,15:23:54,3,,Fixation,280,148,74,21,169,92
1560,15:23:54,3,,Fixation,280,148,74,22,172,93
1591,15:23:54,3,,Fixation,280,148,74,23,133,70
1622,15:23:54,3,,Fixation,280,148,74,24,115,52
1654,15:23:54,3,,Fixation,280,148,74,25,114,47
1685,15:23:54,3,,Fixation,280,148,74,26,109,70
1717,15:23:54,,,Unclassified,191,,,27,,
1751,15:23:54,,,Unclassified,191,,,28,,
1776,15:23:54,,,Unclassified,191,,,29,,
1802,15:23:54,,,Unclassified,191,,,30,,
1827,15:23:54,,,Unclassified,191,,,31,,
1868,15:23:54,,,Unclassified,191,,,32,,
1917,15:23:54,,,Unclassified,46,,,33,140,13
1961,15:23:54,4,,Fixation,164,154,49,34,,
1997,15:23:54,4,,Fixation,164,154,49,35,146,59
2021,15:23:55,4,,Fixation,164,154,49,36,160,34
2056,15:23:55,4,,Fixation,164,154,49,37,164,61
2087,15:23:55,4,,Fixation,164,154,49,38,157,52
2119,15:23:55,,3,Saccade,64,,,39,212,69
2151,15:23:55,,3,Saccade,64,,,40,262,63
2183,15:23:55,5,,Fixation,266,269,67,41,267,60
2215,15:23:55,5,,Fixation,266,269,67,42,258,57
2248,15:23:55,5,,Fixation,266,269,67,43,265,63
2284,15:23:55,5,,Fixation,266,269,67,44,261,70
2318,15:23:55,5,,Fixation,266,269,67,45,281,69
2350,15:23:55,5,,Fixation,266,269,67,46,287,57
2383,15:23:55,5,,Fixation,266,269,67,47,285,80
2416,15:23:55,5,,Fixation,266,269,67,48,243,80
2449,15:23:55,,4,Saccade,33,,,49,110,108
2481,15:23:55,6,,Fixation,500,135,111,50,116,110
2515,15:23:55,6,,Fixation,500,135,111,51,120,109
2548,15:23:55,6,,Fixation,500,135,111,52,113,120
2581,15:23:55,6,,Fixation,500,135,111,53,116,107
2614,15:23:55,6,,Fixation,500,135,111,54,121,106
2646,15:23:55,6,,Fixation,500,135,111,55,113,106
2679,15:23:55,6,,Fixation,500,135,111,56,120,111
2712,15:23:55,6,,Fixation,500,135,111,57,123,117
2745,15:23:55,6,,Fixation,500,135,111,58,111,111
2778,15:23:55,6,,Fixation,500,135,111,59,154,103
2811,15:23:55,6,,Fixation,500,135,111,60,165,112
2848,15:23:55,6,,Fixation,500,135,111,61,162,115
2882,15:23:55,6,,Fixation,500,135,111,62,170,115
2915,15:23:55,6,,Fixation,500,135,111,63,155,112
2948,15:23:55,6,,Fixation,500,135,111,64,160,106
2981,15:23:55,,5,Saccade,66,,,65,132,173
3014,15:23:56,,5,Saccade,66,,,66,99,261
3048,15:23:56,7,,Fixation,1457,93,233,67,91,254
3081,15:23:56,7,,Fixation,1457,93,233,68,106,246
3114,15:23:56,7,,Fixation,1457,93,233,69,107,251
3147,15:23:56,7,,Fixation,1457,93,233,70,106,257
3180,15:23:56,7,,Fixation,1457,93,233,71,98,226
3214,15:23:56,7,,Fixation,1457,93,233,72,92,220
3247,15:23:56,7,,Fixation,1457,93,233,73,90,219
3280,15:23:56,7,,Fixation,1457,93,233,74,88,233
3313,15:23:56,7,,Fixation,1457,93,233,75,82,223
3346,15:23:56,7,,Fixation,1457,93,233,76,79,214
3379,15:23:56,7,,Fixation,1457,93,233,77,85,218
3416,15:23:56,7,,Fixation,1457,93,233,78,82,217
3451,15:23:56,7,,Fixation,1457,93,233,79,85,213
3484,15:23:56,7,,Fixation,1457,93,233,80,79,207
3517,15:23:56,7,,Fixation,1457,93,233,81,84,216
3550,15:23:56,7,,Fixation,1457,93,233,82,81,224
3583,15:23:56,7,,Fixation,1457,93,233,83,68,217
3616,15:23:56,7,,Fixation,1457,93,233,84,82,228
3649,15:23:56,7,,Fixation,1457,93,233,85,83,229
3683,15:23:56,7,,Fixation,1457,93,233,86,79,217
3716,15:23:56,7,,Fixation,1457,93,233,87,91,233
3749,15:23:56,7,,Fixation,1457,93,233,88,88,218
3783,15:23:56,7,,Fixation,1457,93,233,89,97,225
3816,15:23:56,7,,Fixation,1457,93,233,90,97,235
3848,15:23:56,7,,Fixation,1457,93,233,91,102,245
3882,15:23:56,7,,Fixation,1457,93,233,92,100,237
3915,15:23:56,7,,Fixation,1457,93,233,93,105,233
3948,15:23:56,7,,Fixation,1457,93,233,94,98,240
3984,15:23:56,7,,Fixation,1457,93,233,95,104,240
4019,15:23:57,7,,Fixation,1457,93,233,96,101,232
4052,15:23:57,7,,Fixation,1457,93,233,97,88,263
4085,15:23:57,7,,Fixation,1457,93,233,98,94,262
4119,15:23:57,7,,Fixation,1457,93,233,99,109,241
4169,15:23:57,7,,Fixation,1457,93,233,100,104,230
4217,15:23:57,7,,Fixation,1457,93,233,101,105,236
4265,15:23:57,7,,Fixation,1457,93,233,102,107,232
4314,15:23:57,7,,Fixation,1457,93,233,103,101,242
4363,15:23:57,7,,Fixation,1457,93,233,104,88,243
4412,15:23:57,7,,Fixation,1457,93,233,105,90,251
4461,15:23:57,7,,Fixation,1457,93,233,106,101,243
4515,15:23:57,,6,Saccade,53,,,107,503,226
4567,15:23:57,8,,Fixation,551,532,207,108,519,221
